,,,,,,,,,,,,,
VCAA Code,School Name,Sector,Locality,TOTAL COMPLETED YEAR 12 (NUMBER),ON TRACK CONSENTERS (NUMBER),ON TRACK RESPONDENTS (NUMBER),BACHELOR ENROLLED (PER CENT),DEFERRED (PER CENT), TAFE / VET ENROLLED (PER CENT),APPRENTICE / TRAINEE (PER CENT),EMPLOYED (PER CENT),LOOKING FOR WORK (PER CENT),Other (PER CENT)
01099,CAROLINE CHISHOLM CATHOLIC COLLEGE,C,BRAYBROOK,223,157,87,68,3,17,6,3,2,0
14175,CARRUM DOWNS SECONDARY COLLEGE,G,CARRUM DOWNS,101,59,40,23,10,28,15,18,5,3
01192,CARWATHA COLLEGE P-12,G,NOBLE PARK NORTH,74,47,29,41,10,24,7,0,17,0
01933,CASEY GRAMMAR SCHOOL,I,CRANBOURNE EAST,66,65,34,59,18,12,9,3,0,0
01084,CASTERTON SECONDARY COLLEGE,G,GLENELG (VIC.),18,18,11,18,18,18,27,18,0,0
01450,CASTLEMAINE SECONDARY COLLEGE,G,CASTLEMAINE REGION,81,69,51,24,25,12,6,22,12,0
13762,CATHEDRAL COLLEGE WANGARATTA,I,WANGARATTA REGION,23,21,13,38,62,0,0,0,0,0
01540,CATHOLIC COLLEGE BENDIGO,C,BENDIGO,250,250,152,45,20,9,15,10,2,0
01033,CATHOLIC COLLEGE WODONGA,C,WEST WODONGA,161,126,71,35,18,7,23,14,3,0
01408,CATHOLIC LADIES' COLLEGE LTD,C,ELTHAM,131,95,65,72,8,9,6,5,0,0
11806,CATHOLIC REGIONAL COLLEGE,C,MELTON WEST,139,115,76,57,5,16,11,9,3,0
01305,CAULFIELD GRAMMAR SCHOOL,I,CAULFIELD - NORTH,246,222,124,79,6,7,5,2,0,1
01629,CAULFIELD GRAMMAR SCHOOL,I,WHEELERS HILL,173,159,105,81,5,10,4,1,0,0
01890,CHAIRO CHRISTIAN SCHOOL,I,DROUIN,104,83,55,38,18,13,9,16,4,2
01748,CHARLES LA TROBE P-12 COLLEGE,G,KINGSBURY,26,21,15,53,7,27,7,0,0,7
01459,CHELTENHAM SECONDARY COLLEGE,G,CHELTENHAM - HIGHETT (EAST),135,124,88,48,11,7,13,17,1,3
01201,CHRISTIAN BROTHERS' COLLEGE ST KILDA,C,ST KILDA EAST,77,72,46,59,9,13,9,9,2,0
01787,CHRISTIAN COLLEGE INSTITUTE OF SENIOR EDUCATION,I,HIGHTON,175,141,87,53,20,9,14,5,0,0
01275,CLONARD COLLEGE,C,GEELONG WEST - HAMLYN HEIGHTS,112,110,66,61,9,14,2,15,0,0
01543,COBDEN TECHNICAL SCHOOL,G,CORANGAMITE - SOUTH,34,34,23,13,4,22,22,30,9,0
01135,COBRAM SECONDARY COLLEGE,G,COBRAM,40,35,24,42,17,13,17,4,4,4
14479,COBURG HIGH SCHOOL,G,COBURG,21,20,15,40,20,20,7,13,0,0
01037,COHUNA SECONDARY COLLEGE,G,GANNAWARRA,35,35,22,64,0,18,9,9,0,0
01196,COLLINGWOOD COLLEGE,G,COLLINGWOOD,32,18,12,17,8,42,8,17,8,0
15114,CORNISH COLLEGE,I,KEYSBOROUGH,19,17,11,55,36,9,0,0,0,0
01195,CORRYONG COLLEGE,G,TOWONG,19,17,16,19,50,19,6,0,6,0
01739,CRAIGIEBURN SECONDARY COLLEGE,G,CRAIGIEBURN - MICKLEHAM,83,83,51,35,8,22,12,14,10,0
15044,CRANBOURNE EAST SECONDARY COLLEGE,G,CRANBOURNE EAST,96,87,67,42,9,18,9,18,3,1
01375,DAMASCUS COLLEGE,C,BALLARAT - SOUTH,132,94,56,30,29,9,18,13,0,2
01301,DANDENONG HIGH SCHOOL,G,DANDENONG,262,190,151,38,5,26,11,11,9,1
11592,DARUL ULUM COLLEGE OF VICTORIA,I,FAWKNER,46,23,14,71,0,7,0,7,7,7
01145,DAYLESFORD SECONDARY COLLEGE,G,DAYLESFORD,53,51,32,38,31,9,3,16,3,0
