avg_study_score,school_count,total_schools,suburb,SA2_NAME16
29.0,1,1,LAKE GARDENS,LAKE GARDENS
29.0,1,1,ELTHAM,ELTHAM
29.0,1,1,MORNINGTON,MORNINGTON
29.0,1,1,MELTON,MELTON
29.0,1,1,LEONGATHA,LEONGATHA
29.0,1,1,MOUNT CLEAR,MOUNT CLEAR
29.0,4,4,FERNTREE GULLY,FERNTREE GULLY
29.0,1,1,HERNE HILL,HERNE HILL
29.0,1,1,KERANG,KERANG
29.0,1,1,HORSHAM,HORSHAM
29.0,1,1,ESSENDON,ESSENDON
29.0,1,1,FOOTSCRAY,FOOTSCRAY
29.0,1,1,DOREEN,DOREEN
29.0,1,1,BELL POST HILL,BELL POST HILL
29.0,1,1,NIDDRIE,NIDDRIE
29.0,1,1,BURWOOD EAST,BURWOOD EAST
29.0,1,1,CLYDE NORTH,CLYDE NORTH
29.0,1,1,CAROLINE SPRINGS,CAROLINE SPRINGS
29.0,1,1,STRATHDALE,STRATHDALE
29.0,1,1,BRIGHT,BRIGHT
29.0,1,1,BELMONT,BELMONT
29.0,1,1,RINGWOOD,RINGWOOD
29.0,1,1,DONALD,DONALD
29.0,1,1,OUYEN,OUYEN
29.0,1,1,YARRA JUNCTION,YARRA JUNCTION
29.0,2,2,ALTONA NORTH,ALTONA NORTH
29.0,1,1,SWAN HILL,SWAN HILL
29.0,3,3,BROADMEADOWS,BROADMEADOWS
29.0,1,1,SWIFTS CREEK,SWIFTS CREEK
29.0,1,1,COBURG,COBURG
29.0,1,1,DAYLESFORD,DAYLESFORD
29.0,1,1,MANSFIELD,MANSFIELD
29.0,1,1,PRESTON,PRESTON
29.0,1,1,MULGRAVE,MULGRAVE
28.5,2,2,HORSHAM,HORSHAM
28.5,2,2,THORNBURY,THORNBURY
28.5,2,2,LILYDALE,LILYDALE
28.0,1,1,BAIRNSDALE,BAIRNSDALE
28.0,1,1,GREENVALE,GREENVALE
28.0,1,1,ARMSTRONG CREEK,ARMSTRONG CREEK
28.0,1,1,FRANKSTON,FRANKSTON
28.0,1,1,EPPING,EPPING
28.0,1,1,MACLEOD,MACLEOD
28.0,1,1,ELWOOD,ELWOOD
28.0,1,1,FITZROY NORTH,FITZROY NORTH
28.0,1,1,DRYSDALE,DRYSDALE
28.0,1,1,MAFFRA,MAFFRA
28.0,1,1,DINGEE,DINGEE
28.0,1,1,MERNDA,MERNDA
28.0,1,1,MURRAYVILLE,MURRAYVILLE
28.0,1,1,OFFICER,OFFICER
28.0,1,1,MOOROOLBARK,MOOROOLBARK
28.0,1,1,NOBLE PARK NORTH,NOBLE PARK NORTH
28.0,1,1,CASTERTON,CASTERTON
28.0,1,1,CHELTENHAM,CHELTENHAM
28.0,1,1,KILMORE,KILMORE
28.0,1,1,WONTHAGGI,WONTHAGGI
28.0,1,1,EMERALD,EMERALD
28.0,2,2,WODONGA,WODONGA
28.0,1,1,WENDOUREE,WENDOUREE
28.0,3,3,SPRINGVALE,SPRINGVALE
28.0,1,1,SOUTH MORANG,SOUTH MORANG
28.0,1,1,YARRAWONGA,YARRAWONGA
28.0,1,1,SOMERVILLE,SOMERVILLE
28.0,1,1,SEA LAKE,SEA LAKE
28.0,1,1,BEECHWORTH,BEECHWORTH
28.0,1,1,SCORESBY,SCORESBY
28.0,1,1,CAMPERDOWN,CAMPERDOWN
28.0,1,1,COLAC,COLAC
28.0,1,1,SHEPPARTON,SHEPPARTON
28.0,1,1,RESERVOIR,RESERVOIR
28.0,1,1,TEMPLESTOWE LOWER,TEMPLESTOWE LOWER
28.0,1,1,COHUNA,COHUNA
28.0,1,1,RICHMOND,RICHMOND
28.0,1,1,COLLINGWOOD,COLLINGWOOD
27.0,1,1,EAST GEELONG,EAST GEELONG
27.0,1,1,HOPETOUN,HOPETOUN
27.0,1,1,BEACONSFIELD,BEACONSFIELD
27.0,1,1,SUNBURY,SUNBURY
27.0,1,1,BEAUFORT,BEAUFORT
27.0,1,1,YARRA JUNCTION,YARRA JUNCTION
27.0,1,1,TALLANGATTA,TALLANGATTA
27.0,1,1,BORONIA,BORONIA
27.0,1,1,CAMPERDOWN,CAMPERDOWN
27.0,1,1,ROSEBUD,ROSEBUD
27.0,1,1,PAKENHAM,PAKENHAM
27.0,1,1,CAROLINE SPRINGS,CAROLINE SPRINGS
27.0,1,1,GREENVALE LAKES,GREENVALE LAKES
27.0,1,1,GISBORNE,GISBORNE
27.0,1,1,KYNETON,KYNETON
27.0,1,1,HEALESVILLE,HEALESVILLE
27.0,1,1,KYABRAM,KYABRAM
27.0,1,1,MAIDEN GULLY,MAIDEN GULLY
27.0,2,2,SUNBURY,SUNBURY
27.0,1,1,TRAFALGAR,TRAFALGAR
27.0,1,1,UPWEY,UPWEY
27.0,1,1,YARRAWONGA,YARRAWONGA
27.0,1,1,MORNINGTON,MORNINGTON
27.0,1,1,DELAHEY,DELAHEY
27.0,1,1,DANDENONG,DANDENONG
27.0,1,1,NARRE WARREN SOUTH,NARRE WARREN SOUTH
27.0,1,1,BALLARAT EAST,BALLARAT EAST
27.0,1,1,PORTLAND,PORTLAND
27.0,1,1,ROCHESTER,ROCHESTER
26.5,2,2,LILYDALE,LILYDALE
26.5,2,2,TAYLORS HILL,TAYLORS HILL
26.0,1,1,MARYBOROUGH,MARYBOROUGH
26.0,1,1,SUNSHINE WEST,SUNSHINE WEST
26.0,1,1,BAIRNSDALE,BAIRNSDALE
26.0,1,1,BAYSWATER,BAYSWATER
26.0,1,1,WANGARATTA,WANGARATTA
26.0,1,1,WOLLERT,WOLLERT
26.0,1,1,WARRANDYTE,WARRANDYTE
26.0,1,1,KERANG,KERANG
26.0,1,1,KNOXFIELD,KNOXFIELD
26.0,1,1,WARRNAMBOOL,WARRNAMBOOL
26.0,1,1,ARARAT,ARARAT
26.0,1,1,ALTONA,ALTONA
26.0,1,1,BUNDOORA,BUNDOORA
26.0,1,1,COBRAM,COBRAM
26.0,1,1,CRANBOURNE,CRANBOURNE
26.0,1,1,ST ARNAUD,ST ARNAUD
26.0,1,1,BROOKFIELD,BROOKFIELD
26.0,1,1,TYNONG,TYNONG
26.0,2,2,BRUNSWICK,BRUNSWICK
26.0,1,1,SASSAFRAS,SASSAFRAS
26.0,1,1,SWAN HILL,SWAN HILL
26.0,1,1,NEWBOROUGH,NEWBOROUGH
26.0,1,1,MOUNT CLEAR,MOUNT CLEAR
26.0,1,1,MILDURA,MILDURA
26.0,1,1,DANDENONG NORTH,DANDENONG NORTH
26.0,1,1,CASTLEMAINE,CASTLEMAINE
26.0,2,2,NOBLE PARK,NOBLE PARK
26.0,1,1,PASCOE VALE SOUTH,PASCOE VALE SOUTH
26.0,1,1,MILL PARK,MILL PARK
26.0,1,1,EUROA,EUROA
26.0,1,1,MELTON SOUTH,MELTON SOUTH
26.0,1,1,LALOR,LALOR
26.0,1,1,DOREEN,DOREEN
26.0,1,1,KEILOR EAST,KEILOR EAST
26.0,1,1,HAMILTON,HAMILTON
25.5,2,2,HAMILTON,HAMILTON
25.5,2,2,CRANBOURNE,CRANBOURNE
25.0,1,1,SEBASTOPOL,SEBASTOPOL
25.0,1,1,YEA,YEA
25.0,1,1,YARRAM,YARRAM
25.0,1,1,KIALLA,KIALLA
25.0,1,1,EDENHOPE,EDENHOPE
25.0,1,1,DROUIN,DROUIN
25.0,3,3,CRAIGIEBURN,CRAIGIEBURN
25.0,1,1,SEYMOUR,SEYMOUR
25.0,1,1,TRARALGON,TRARALGON
25.0,1,1,NEWCOMB,NEWCOMB
25.0,1,1,MONBULK,MONBULK
25.0,1,1,ROWVILLE,ROWVILLE
25.0,1,1,DANDENONG,DANDENONG
25.0,1,1,MELTON SOUTH,MELTON SOUTH
25.0,1,1,DIAMOND CREEK,DIAMOND CREEK
25.0,1,1,HOPPERS CROSSING,HOPPERS CROSSING
25.0,1,1,HEATHMONT,HEATHMONT
25.0,1,1,GROVEDALE,GROVEDALE
25.0,1,1,LARA,LARA
24.0,1,1,MELTON,MELTON
24.0,1,1,MACLEOD WEST,MACLEOD WEST
24.0,1,1,BENALLA,BENALLA
24.0,1,1,KURUNJANG,KURUNJANG
24.0,1,1,LAVERTON,LAVERTON
24.0,1,1,HAWTHORN EAST,HAWTHORN EAST
24.0,1,1,ECHUCA,ECHUCA
24.0,1,1,ALEXANDRA,ALEXANDRA
24.0,1,1,WHITTLESEA,WHITTLESEA
24.0,1,1,WARRAGUL,WARRAGUL
24.0,1,1,LOVELY BANKS,LOVELY BANKS
24.0,1,1,CORIO,CORIO
24.0,1,1,WYNDHAM VALE,WYNDHAM VALE
24.0,1,1,TIMBOON,TIMBOON
24.0,1,1,THOMASTOWN,THOMASTOWN
24.0,1,1,BACCHUS MARSH,BACCHUS MARSH
24.0,1,1,SALE,SALE
24.0,1,1,MYRTLEFORD,MYRTLEFORD
24.0,1,1,NUMURKAH,NUMURKAH
24.0,1,1,RAINBOW,RAINBOW
24.0,1,1,COBDEN,COBDEN
24.0,1,1,COBRAM,COBRAM
24.0,1,1,CLAYTON SOUTH,CLAYTON SOUTH
24.0,1,1,CANN RIVER,CANN RIVER
24.0,1,1,MORWELL,MORWELL
24.0,1,1,PORTLAND,PORTLAND
23.0,1,1,KYABRAM,KYABRAM
23.0,1,1,LORNE,LORNE
23.0,1,1,BANNOCKBURN,BANNOCKBURN
23.0,1,1,STAWELL,STAWELL
23.0,1,1,ROBINVALE,ROBINVALE
23.0,1,1,ROXBURGH PARK,ROXBURGH PARK
23.0,1,1,GLENROY,GLENROY
23.0,1,1,COLAC,COLAC
23.0,1,1,NHILL,NHILL
23.0,1,1,RED CLIFFS,RED CLIFFS
23.0,1,1,TARNEIT,TARNEIT
22.0,1,1,BROADFORD,BROADFORD
22.0,1,1,WALLAN,WALLAN
21.0,1,1,FRANKSTON NORTH,FRANKSTON NORTH
21.0,1,1,RUTHERGLEN,RUTHERGLEN
21.0,1,1,EAST PRESTON,EAST PRESTON
20.0,1,1,WEDDERBURN,WEDDERBURN
20.0,1,1,NATHALIA,NATHALIA
