Secondary English Classes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Average class size Year 12,21.2,20.6,20.2,20.2,19.9,19.5,19.7,19.7,19.4,19.6,19.2,19,19.3,19.2,19.5,19,19,19,18.9,19.2,19.2,18.9,18.8,19.3,19.7
Average class size-all classes,22.5,22.2,22,21.9,21.9,21.5,21.6,21.6,21.6,21.5,21.4,21.4,21.4,21.4,21.3,21.2,21.1,21.2,21.3,21.3,21.4,21.2,21.4,21.3,21.5
