"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"Marymede Catholic College",NA,"SOUTH MORANG","162","47","223","44","90","30","4.7",2017,"Marymede Catholic College   SOUTH MORANG"
"Mater Christi College",NA,"BELGRAVE","225","57","132","14","88.7","32","10.9",2017,"Mater Christi College   BELGRAVE"
"Matthew Flinders Girls' SC",NA,"GEELONG","158","53","76","47","73.099999999999994","26","1.8",2017,"Matthew Flinders Girls' SC   GEELONG"
"Mazenod College",NA,"MULGRAVE","414","50","183","32","96.4","32","10.9",2017,"Mazenod College   MULGRAVE"
"McClelland Secondary College",NA,"FRANKSTON","152","46","147","163","54","29","3.8",2017,"McClelland Secondary College   FRANKSTON"
"McGuire College",NA,"SHEPPARTON","98","45","67","29","80.8","24","3.3",2017,"McGuire College   SHEPPARTON"
"McKinnon Secondary College",NA,"MCKINNON","530","53","119","26","95.7","33","17.3",2017,"McKinnon Secondary College   MCKINNON"
"Melba College",NA,"CROYDON","109","43","59","32","57.1","28","4.1",2017,"Melba College   CROYDON"
"Melbourne Girls Grammar",NA,"SOUTH YARRA","193","39","< 4","-","100","36","28.6",2017,"Melbourne Girls Grammar   SOUTH YARRA"
"Melbourne Girls' College",NA,"RICHMOND","381","50","25","-","96.9","33","14.6",2017,"Melbourne Girls' College   RICHMOND"
"Melbourne Grammar School",NA,"MELBOURNE","379","42","< 4","-","99","34","22.8",2017,"Melbourne Grammar School   MELBOURNE"
"Melbourne High School",NA,"SOUTH YARRA","686","59","71","-","94.8","36","30.6",2017,"Melbourne High School   SOUTH YARRA"
"Melbourne Polytechnic",NA,"PRESTON","79","17","193","195","-","-","-",2017,"Melbourne Polytechnic   PRESTON"
"Melbourne Rudolf Steiner Schl",NA,"WARRANWOOD","60","17","-","-","90.7","31","6.7",2017,"Melbourne Rudolf Steiner Schl   WARRANWOOD"
"Melton Christian College",NA,"BROOKFIELD","62","35","23","12","66.7","26","0.7",2017,"Melton Christian College   BROOKFIELD"
"Melton Secondary College",NA,"MELTON","159","50","139","99","84.3","27","4.4",2017,"Melton Secondary College   MELTON"
"Mentone Girls' Grammar School",NA,"MENTONE","168","38","30","-","98.9","34","20.9",2017,"Mentone Girls' Grammar School   MENTONE"
"Mentone Girls' Sec College",NA,"MENTONE","329","51","61","-","92.7","31","9.2",2017,"Mentone Girls' Sec College   MENTONE"
"Mentone Grammar School",NA,"MENTONE","264","46","62","7","93.8","35","21.2",2017,"Mentone Grammar School   MENTONE"
"Mercy College",NA,"COBURG","126","34","27","12","96.8","29","4.0",2017,"Mercy College   COBURG"
"Mercy Regional College",NA,"CAMPERDOWN","148","33","67","8","77.8","28","1.7",2017,"Mercy Regional College   CAMPERDOWN"
"Merinda Park Learning Centre","*","CRANBOURNE","< 4","1","46","61","-","I/D","I/D",2017,"Merinda Park Learning Centre   CRANBOURNE"
"Methodist Ladies College",NA,"KEW","384","46","133","-","99.7","36","28.3",2017,"Methodist Ladies College   KEW"
"Mildura Senior College",NA,"MILDURA","548","69","380","190","62.1","27","2.1",2017,"Mildura Senior College   MILDURA"
"Mill Park Secondary College",NA,"EPPING","431","67","269","75","80.900000000000006","25","2.2",2017,"Mill Park Secondary College   EPPING"
"Minaret College",NA,"SPRINGVALE","156","23","-","-","100","27","4.7",2017,"Minaret College   SPRINGVALE"
"Minaret College",NA,"OFFICER","45","13","-","-","100","25","0.9",2017,"Minaret College   OFFICER"
"Mirboo North Sec College",NA,"MIRBOO NORTH","72","30","38","33","66.7","29","1.5",2017,"Mirboo North Sec College   MIRBOO NORTH"
"Monbulk College",NA,"MONBULK","86","33","78","46","75","29","5.7",2017,"Monbulk College   MONBULK"
"Monivae College",NA,"HAMILTON","109","39","71","27","70.5","29","2.9",2017,"Monivae College   HAMILTON"
"Monterey Secondary College",NA,"FRANKSTON NORTH","51","20","82","58","58.3","22","0",2017,"Monterey Secondary College   FRANKSTON NORTH"
"Montmorency Sec College",NA,"MONTMORENCY","122","34","46","39","89.2","29","5.9",2017,"Montmorency Sec College   MONTMORENCY"
"Mooroolbark College",NA,"MOOROOLBARK","203","51","152","80","77.599999999999994","27","2.5",2017,"Mooroolbark College   MOOROOLBARK"
"Mooroopna Secondary College",NA,"MOOROOPNA","76","35","57","37","61.5","23","1.3",2017,"Mooroopna Secondary College   MOOROOPNA"
"Mordialloc College",NA,"MORDIALLOC","133","41","68","34","77.8","27","5.7",2017,"Mordialloc College   MORDIALLOC"
"Mornington Secondary College",NA,"MORNINGTON","364","55","135","113","68.400000000000006","27","1.1",2017,"Mornington Secondary College   MORNINGTON"
"Mortlake College",NA,"MORTLAKE","22","19","10","< 4","50","33","13.3",2017,"Mortlake College   MORTLAKE"
"Mount Alexander 7-12 Coll",NA,"FLEMINGTON","64","27","42","39","93.9","26","1.5",2017,"Mount Alexander 7-12 Coll   FLEMINGTON"
"Mount Beauty Sec College",NA,"MOUNT BEAUTY","59","28","34","< 4","44","27","2.1",2017,"Mount Beauty Sec College   MOUNT BEAUTY"
"Mount Clear College",NA,"MOUNT CLEAR","168","53","141","66","57.1","24","1.3",2017,"Mount Clear College   MOUNT CLEAR"
"Mount Eliza Sec College",NA,"MOUNT ELIZA","162","43","89","29","84","28","4.2",2017,"Mount Eliza Sec College   MOUNT ELIZA"
"Mount Erin College",NA,"FRANKSTON","133","42","64","37","68.8","27","0.9",2017,"Mount Erin College   FRANKSTON"
"Mount Evelyn Christian School",NA,"MOUNT EVELYN","101","36","70","48","83.3","30","5.4",2017,"Mount Evelyn Christian School   MOUNT EVELYN"
"Mount Lilydale Mercy College",NA,"LILYDALE","312","53","209","39","89.5","29","4.7",2017,"Mount Lilydale Mercy College   LILYDALE"
"Mount Ridley P-12 College",NA,"CRAIGIEBURN","202","49","152","84","99.2","25","2.1",2017,"Mount Ridley P-12 College   CRAIGIEBURN"
"Mount Scopus Memorial College",NA,"BURWOOD","212","41","167","-","96.9","37","35.8",2017,"Mount Scopus Memorial College   BURWOOD"
"Mount St Joseph Girls' College",NA,"ALTONA","213","51","53","28","100","31","7.6",2017,"Mount St Joseph Girls' College   ALTONA"
"Mount Waverley Sec College",NA,"MOUNT WAVERLEY","439","59","38","-","97.1","30","5.9",2017,"Mount Waverley Sec College   MOUNT WAVERLEY"
"Mountain District Christian SC",NA,"MONBULK","23","20","8","-","57.1","30","2.9",2017,"Mountain District Christian SC   MONBULK"
"Mountain District Women's Co-Op","*","FERNTREE GULLY","14","3","28","31","-","-","-",2017,"Mountain District Women's Co-Op   FERNTREE GULLY"
"Mt Hira College",NA,"KEYSBOROUGH","61","16","-","-","100","27","2.2",2017,"Mt Hira College   KEYSBOROUGH"
"Mullauna College",NA,"MITCHAM","110","29","14","< 4","92.2","31","8.3",2017,"Mullauna College   MITCHAM"
"Murrayville Community College",NA,"MURRAYVILLE","25","17","29","4","100","32","21.4",2017,"Murrayville Community College   MURRAYVILLE"
"Murtoa P-12 College",NA,"MURTOA","38","19","15","9","84","28","2.4",2017,"Murtoa P-12 College   MURTOA"
"Myrtleford P-12 College",NA,"MYRTLEFORD","30","21","10","17","52.9","26","1.6",2017,"Myrtleford P-12 College   MYRTLEFORD"
"Nagle College",NA,"BAIRNSDALE","165","40","126","37","51.4","26","1.6",2017,"Nagle College   BAIRNSDALE"
"Narre Community Learn Centre","*","NARRE WARREN","6","4","64","54","-","-","-",2017,"Narre Community Learn Centre   NARRE WARREN"
"Narre Warren Sth P-12 College",NA,"NARRE WARREN SOUTH","262","46","240","235","97.3","30","3.8",2017,"Narre Warren Sth P-12 College   NARRE WARREN SOUTH"
"Nathalia Secondary College",NA,"NATHALIA","29","28","33","15","66.7","28","2.2",2017,"Nathalia Secondary College   NATHALIA"
"Nazareth College",NA,"NOBLE PARK NORTH","143","38","63","26","98.9","29","5.0",2017,"Nazareth College   NOBLE PARK NORTH"
"Neerim District Sec College",NA,"NEERIM SOUTH","28","24","25","12","92.3","28","6.2",2017,"Neerim District Sec College   NEERIM SOUTH"
"Newcomb Secondary College",NA,"NEWCOMB","63","39","118","73","51.4","24","0",2017,"Newcomb Secondary College   NEWCOMB"
"Newhaven College",NA,"RHYLL","137","31","33","-","79.5","31","5.2",2017,"Newhaven College   RHYLL"
"Nhill College",NA,"NHILL","50","34","22","12","74.099999999999994","29","7.5",2017,"Nhill College   NHILL"
"Noble Park Secondary College",NA,"NOBLE PARK","103","30","47","47","76.099999999999994","25","2.1",2017,"Noble Park Secondary College   NOBLE PARK"
"North Geelong Sec College",NA,"GEELONG NORTH","122","49","120","104","84.9","25","1.9",2017,"North Geelong Sec College   GEELONG NORTH"
"North Melbourne Grammar Coll",NA,"NORTH MELBOURNE","24","9","< 4","< 4","73.3","22","0",2017,"North Melbourne Grammar Coll   NORTH MELBOURNE"
"Northcote High School",NA,"NORTHCOTE","442","60","153","12","91.6","31","8.9",2017,"Northcote High School   NORTHCOTE"
"Northern Bay P-12 College",NA,"CORIO","74","40","93","71","55","22","0",2017,"Northern Bay P-12 College   CORIO"
"Northern College of Arts & Tech",NA,"PRESTON EAST","289","56","391","232","37","27","4.6",2017,"Northern College of Arts & Tech   PRESTON EAST"
"Northside Christian College",NA,"BUNDOORA","28","20","13","< 4","62.5","30","10.4",2017,"Northside Christian College   BUNDOORA"
"Norwood Secondary College",NA,"RINGWOOD","242","40","101","31","74.400000000000006","28","3.3",2017,"Norwood Secondary College   RINGWOOD"
"Nossal High School",NA,"BERWICK","424","45","21","-","99","36","21.5",2017,"Nossal High School   BERWICK"
"Notre Dame College",NA,"SHEPPARTON","395","66","628","122","75.2","29","6.7",2017,"Notre Dame College   SHEPPARTON"
"Numurkah Secondary College",NA,"NUMURKAH","35","29","44","35","25","23","0",2017,"Numurkah Secondary College   NUMURKAH"
"Nunawading Christian College",NA,"NUNAWADING","43","18","4","-","96.8","30","8.2",2017,"Nunawading Christian College   NUNAWADING"
"Oakleigh Grammar",NA,"OAKLEIGH","80","26","< 4","-","95.6","30","3.1",2017,"Oakleigh Grammar   OAKLEIGH"
"Oakwood School",NA,"CAULFIELD NORTH","50","18","103","47","100","I/D","I/D",2017,"Oakwood School   CAULFIELD NORTH"
"Oberon High School",NA,"BELMONT","124","44","33","28","65.400000000000006","29","4.3",2017,"Oberon High School   BELMONT"
"Orbost Secondary College",NA,"ORBOST","60","17","69","18","63.6","22","0",2017,"Orbost Secondary College   ORBOST"
"Our Lady of Mercy College",NA,"HEIDELBERG","339","49","65","12","96.8","32","11.0",2017,"Our Lady of Mercy College   HEIDELBERG"
"Our Lady of Sacred Heart Coll",NA,"BENTLEIGH","169","49","191","16","98.9","32","8.2",2017,"Our Lady of Sacred Heart Coll   BENTLEIGH"
"Our Lady of Sion College",NA,"BOX HILL","217","45","31","9","94.7","33","11.3",2017,"Our Lady of Sion College   BOX HILL"
"Ouyen P-12 College","*","OUYEN","19","13","43","15","88.9","32","7.5",2017,"Ouyen P-12 College   OUYEN"
"Overnewton Anglican Comm Coll",NA,"KEILOR","245","41","158","-","93.8","30","6.7",2017,"Overnewton Anglican Comm Coll   KEILOR"
"Oxley Christian College",NA,"CHIRNSIDE PARK","151","36","7","-","93.8","32","10.0",2017,"Oxley Christian College   CHIRNSIDE PARK"
"Ozford College","*","MELBOURNE","15","10","27","30","80","21","0",2017,"Ozford College   MELBOURNE"
"Padua College",NA,"MORNINGTON","443","58","242","64","80.8","29","3.9",2017,"Padua College   MORNINGTON"
"Pakenham Secondary College",NA,"PAKENHAM","130","54","119","84","96.2","27","1.8",2017,"Pakenham Secondary College   PAKENHAM"
"Parade College",NA,"BUNDOORA","359","60","281","123","91.6","31","6.6",2017,"Parade College   BUNDOORA"
"Parkdale Secondary College",NA,"MORDIALLOC","360","59","198","71","68","29","3.7",2017,"Parkdale Secondary College   MORDIALLOC"
"Parkville College","*","PARKVILLE","< 4","4","152","96","0","I/D","I/D",2017,"Parkville College   PARKVILLE"
"Pascoe Vale Girls Sec College",NA,"PASCOE VALE","266","39","101","36","91.4","27","2.7",2017,"Pascoe Vale Girls Sec College   PASCOE VALE"
"Patterson River Sec College",NA,"CARRUM","175","52","105","51","70.2","28","1.6",2017,"Patterson River Sec College   CARRUM"
"Peninsula Grammar",NA,"MOUNT ELIZA","284","44","16","-","92.7","33","14.9",2017,"Peninsula Grammar   MOUNT ELIZA"
"Penleigh & Essendon Grammar",NA,"KEILOR EAST","288","38","9","-","95.7","35","24.0",2017,"Penleigh & Essendon Grammar   KEILOR EAST"
"Penola Catholic College",NA,"BROADMEADOWS","263","57","243","70","81.599999999999994","29","2.1",2017,"Penola Catholic College   BROADMEADOWS"
"Peter Lalor Vocational Coll",NA,"LALOR","30","16","108","121","-","-","-",2017,"Peter Lalor Vocational Coll   LALOR"
"Phoenix P-12 Comm Coll",NA,"SEBASTOPOL","150","37","125","62","73.400000000000006","26","1.9",2017,"Phoenix P-12 Comm Coll   SEBASTOPOL"
"Pines Learning","*","DONCASTER EAST","5","6","13","32","-","-","-",2017,"Pines Learning   DONCASTER EAST"
"Plenty Valley Christian College",NA,"DOREEN","104","40","70","15","89.1","30","5.8",2017,"Plenty Valley Christian College   DOREEN"
"Point Cook Senior Sec College",NA,"POINT COOK","299","57","232","109","83.6","27","2.7",2017,"Point Cook Senior Sec College   POINT COOK"
"Portland Secondary College",NA,"PORTLAND","141","36","103","41","62.3","26","0.6",2017,"Portland Secondary College   PORTLAND"
"Presbyterian Ladies' College",NA,"BURWOOD","280","32","< 4","-","99.5","36","28.5",2017,"Presbyterian Ladies' College   BURWOOD"
"Presentation College",NA,"WINDSOR","152","48","60","8","95.7","30","6.6",2017,"Presentation College   WINDSOR"
"Preshil The Margaret Lyttle SC",NA,"KEW","47","22","11","-","84.6","29","3.0",2017,"Preshil The Margaret Lyttle SC   KEW"
"Preston Reservoir ACE",NA,"RESERVOIR","-","-","58","63","-","-","-",2017,"Preston Reservoir ACE   RESERVOIR"
"Princes Hill Sec College",NA,"PRINCES HILL","193","43","43","14","91","31","9.9",2017,"Princes Hill Sec College   PRINCES HILL"
"Rainbow P-12 College","*","RAINBOW","19","18","9","5","71.400000000000006","28","2.5",2017,"Rainbow P-12 College   RAINBOW"
"Red Cliffs Secondary College",NA,"RED CLIFFS","139","32","77","50","39.1","24","2.3",2017,"Red Cliffs Secondary College   RED CLIFFS"
"Reservoir High School",NA,"RESERVOIR","122","40","56","18","85.3","27","3.0",2017,"Reservoir High School   RESERVOIR"
"Ringwood Secondary College",NA,"RINGWOOD","351","76","112","49","89.1","29","6.2",2017,"Ringwood Secondary College   RINGWOOD"
"River Nile School","*","NORTH MELBOURNE","< 4","1","26","34","-","I/D","I/D",2017,"River Nile School   NORTH MELBOURNE"
"RMIT TAFE",NA,"CARLTON","266","36","< 4","< 4","52.3","25","1.7",2017,"RMIT TAFE   CARLTON"
"Robinvale College",NA,"ROBINVALE","48","22","53","24","45.5","24","1.0",2017,"Robinvale College   ROBINVALE"
"Rochester Secondary College",NA,"ROCHESTER","92","32","52","29","75","27","1.5",2017,"Rochester Secondary College   ROCHESTER"
"Rosebud Secondary College",NA,"ROSEBUD","216","59","123","73","73.400000000000006","28","1.8",2017,"Rosebud Secondary College   ROSEBUD"
"Rosehill Secondary College",NA,"NIDDRIE","216","44","41","31","80.3","29","2.4",2017,"Rosehill Secondary College   NIDDRIE"
"Rowville Secondary College",NA,"ROWVILLE","492","72","232","111","58.9","27","1.5",2017,"Rowville Secondary College   ROWVILLE"
"Roxburgh College",NA,"ROXBURGH PARK","253","33","383","107","93","25","1.3",2017,"Roxburgh College   ROXBURGH PARK"
"Rushworth P-12 College","*","RUSHWORTH","18","19","10","8","53.8","26","0",2017,"Rushworth P-12 College   RUSHWORTH"
"Rutherglen High School",NA,"RUTHERGLEN","66","22","62","13","40.6","26","3.0",2017,"Rutherglen High School   RUTHERGLEN"
"Ruyton Girls' School",NA,"KEW","160","37","18","-","100","36","26.8",2017,"Ruyton Girls' School   KEW"
"Sacre Coeur",NA,"GLEN IRIS","156","36","5","-","100","36","26.3",2017,"Sacre Coeur   GLEN IRIS"
"Sacred Heart College",NA,"YARRAWONGA","53","31","88","21","100","28","1.0",2017,"Sacred Heart College   YARRAWONGA"
"Sacred Heart College Geelong",NA,"NEWTOWN","387","69","205","59","90.8","34","13.6",2017,"Sacred Heart College Geelong   NEWTOWN"
"Sacred Heart College Kyneton",NA,"KYNETON","180","46","125","26","87.4","31","9.4",2017,"Sacred Heart College Kyneton   KYNETON"
"Sacred Heart Girls' College",NA,"HUGHESDALE","213","44","21","-","99.4","34","13.6",2017,"Sacred Heart Girls' College   HUGHESDALE"
"Saint Ignatius College",NA,"DRYSDALE","195","50","58","45","69.900000000000006","32","7.9",2017,"Saint Ignatius College   DRYSDALE"
"Sale College",NA,"SALE","160","41","94","69","64.8","25","0.9",2017,"Sale College   SALE"
"Salesian College",NA,"CHADSTONE","229","48","55","27","91.2","31","5.0",2017,"Salesian College   CHADSTONE"
"Salesian College Sunbury",NA,"SUNBURY","205","49","131","61","89.7","29","2.3",2017,"Salesian College Sunbury   SUNBURY"
"Sandringham College",NA,"SANDRINGHAM","277","56","153","46","79.7","29","3.5",2017,"Sandringham College   SANDRINGHAM"
"Santa Maria College",NA,"NORTHCOTE","220","43","38","7","94.2","31","10.1",2017,"Santa Maria College   NORTHCOTE"
"Scoresby Secondary College",NA,"SCORESBY","50","21","27","18","76.7","24","0",2017,"Scoresby Secondary College   SCORESBY"
"Scotch College",NA,"HAWTHORN","439","46","8","-","97.2","36","26.8",2017,"Scotch College   HAWTHORN"
"SEDA College",NA,"HAWTHORN EAST","451","10","807","824","-","I/D","I/D",2017,"SEDA College   HAWTHORN EAST"
"Seymour College",NA,"SEYMOUR","85","30","122","25","72.400000000000006","25","2.6",2017,"Seymour College   SEYMOUR"
"Shelford Girls' Grammar",NA,"CAULFIELD","137","42","22","-","97","36","25.4",2017,"Shelford Girls' Grammar   CAULFIELD"
"Shepparton ACE College","*","SHEPPARTON","4","1","25","62","-","-","-",2017,"Shepparton ACE College   SHEPPARTON"
"Shepparton Christian College",NA,"SHEPPARTON","33","33","22","9","56.2","28","10.5",2017,"Shepparton Christian College   SHEPPARTON"
"Shepparton High School",NA,"SHEPPARTON","125","47","94","85","72.7","24","2.0",2017,"Shepparton High School   SHEPPARTON"
"Sherbrooke Community School",NA,"SASSAFRAS","28","14","32","9","40","25","2.6",2017,"Sherbrooke Community School   SASSAFRAS"
"Siena College",NA,"CAMBERWELL","164","41","14","-","100","34","14.3",2017,"Siena College   CAMBERWELL"
"Simonds Catholic College",NA,"FITZROY NORTH","107","34","45","15","92.4","31","4.2",2017,"Simonds Catholic College   FITZROY NORTH"
"Sirius College - Eastmeadows",NA,"BROADMEADOWS","138","17","-","-","100","31","9.4",2017,"Sirius College - Eastmeadows   BROADMEADOWS"
"Sirius College - Keysborough",NA,"KEYSBOROUGH","65","16","-","-","100","29","5.5",2017,"Sirius College - Keysborough   KEYSBOROUGH"
"Sirius College - Meadow Fair",NA,"BROADMEADOWS","149","18","-","-","96.9","33","12.4",2017,"Sirius College - Meadow Fair   BROADMEADOWS"
"Skillsplus","*","FRANKSTON","< 4","7","91","91","-","I/D","I/D",2017,"Skillsplus   FRANKSTON"
"Somerville Secondary College",NA,"SOMERVILLE","47","26","21","24","38.9","25","2.0",2017,"Somerville Secondary College   SOMERVILLE"
"South Oakleigh Sec College",NA,"OAKLEIGH SOUTH","84","30","25","-","72.900000000000006","29","3.0",2017,"South Oakleigh Sec College   OAKLEIGH SOUTH"
"South West Institute of TAFE",NA,"WARRNAMBOOL","26","21","133","153","0","-","-",2017,"South West Institute of TAFE   WARRNAMBOOL"
"Southern Cross Grammar","*","CAROLINE SPRINGS","16","6","13","-","-","34","8.3",2017,"Southern Cross Grammar   CAROLINE SPRINGS"
"Southern Grampians Adult Edu","*","HAMILTON","8","1","23","23","-","-","-",2017,"Southern Grampians Adult Edu   HAMILTON"
"St Albans Secondary College",NA,"ST ALBANS","257","48","228","92","90.2","30","8.4",2017,"St Albans Secondary College   ST ALBANS"
"St Aloysius College",NA,"NORTH MELBOURNE","110","35","26","10","97.5","32","4.9",2017,"St Aloysius College   NORTH MELBOURNE"
"St Andrews Christian College",NA,"WANTIRNA SOUTH","58","32","11","-","96.3","32","10.8",2017,"St Andrews Christian College   WANTIRNA SOUTH"
"St Arnaud Secondary College",NA,"ST ARNAUD","30","22","26","15","81","26","1.0",2017,"St Arnaud Secondary College   ST ARNAUD"
"St Augustine's College",NA,"KYABRAM","69","32","42","10","86.2","29","3.8",2017,"St Augustine's College   KYABRAM"
"St Bede's College",NA,"MENTONE","349","45","118","43","85.7","31","7.9",2017,"St Bede's College   MENTONE"
"St Bernard's College",NA,"ESSENDON","314","46","144","26","90.1","31","8.0",2017,"St Bernard's College   ESSENDON"
"St Brigid's College",NA,"HORSHAM","104","36","57","85","77.599999999999994","28","2.7",2017,"St Brigid's College   HORSHAM"
"St Catherine's School",NA,"TOORAK","161","36","19","-","98.9","34","20.0",2017,"St Catherine's School   TOORAK"
"St Columba's College",NA,"ESSENDON","237","53","55","12","98.6","32","11.9",2017,"St Columba's College   ESSENDON"
"St Francis Xavier College",NA,"BEACONSFIELD","513","56","417","147","76.599999999999994","29","4.3",2017,"St Francis Xavier College   BEACONSFIELD"
"St Helena Secondary College",NA,"ELTHAM","389","54","301","37","87.3","30","5.7",2017,"St Helena Secondary College   ELTHAM"
"St John's Greek Orth College","*","PRESTON","19","18","-","-","66.7","26","3.4",2017,"St John's Greek Orth College   PRESTON"
"St John's Regional College",NA,"DANDENONG","204","46","138","30","88","28","3.0",2017,"St John's Regional College   DANDENONG"
"St Joseph's College",NA,"ECHUCA","261","41","224","22","74.8","28","1.8",2017,"St Joseph's College   ECHUCA"
"St Joseph's College",NA,"FERNTREE GULLY","270","51","343","66","87.9","30","6.4",2017,"St Joseph's College   FERNTREE GULLY"
"St Joseph's College",NA,"MILDURA","173","48","91","40","73.2","29","6.3",2017,"St Joseph's College   MILDURA"
"St Joseph's College",NA,"NEWTOWN","387","51","236","55","71.8","31","10.0",2017,"St Joseph's College   NEWTOWN"
"St Kevin's College",NA,"TOORAK","371","39","8","-","97.5","37","30.8",2017,"St Kevin's College   TOORAK"
"St Leonard's College",NA,"BRIGHTON EAST","174","37","23","-","87.2","34","15.9",2017,"St Leonard's College   BRIGHTON EAST"
"St Margaret's School",NA,"BERWICK","97","26","< 4","-","100","35","20.4",2017,"St Margaret's School   BERWICK"
"St Mary MacKillop College",NA,"SWAN HILL","113","33","143","32","94.4","29","4.6",2017,"St Mary MacKillop College   SWAN HILL"
"St Mary of the Angels School",NA,"NATHALIA","141","49","82","45","81.2","27","1.9",2017,"St Mary of the Angels School   NATHALIA"
"St Mary's Coptic Orth College",NA,"COOLAROO","120","17","-","-","94.8","27","7.6",2017,"St Mary's Coptic Orth College   COOLAROO"
"St Michael's Grammar School",NA,"ST KILDA","189","40","16","-","91.5","33","15.3",2017,"St Michael's Grammar School   ST KILDA"
"St Monica's College",NA,"EPPING","383","54","280","52","87.3","30","6.6",2017,"St Monica's College   EPPING"
"St Patrick's College",NA,"BALLARAT","357","40","258","23","80","29","3.2",2017,"St Patrick's College   BALLARAT"
"St Paul's Anglican Grammar Schl",NA,"WARRAGUL","198","40","37","-","95.2","32","10.2",2017,"St Paul's Anglican Grammar Schl   WARRAGUL"
"St Peter's College",NA,"CRANBOURNE","287","59","196","59","80.7","27","2.3",2017,"St Peter's College   CRANBOURNE"
"St Thomas Aquinas College",NA,"TYNONG","25","12","-","-","65","28","2.9",2017,"St Thomas Aquinas College   TYNONG"
"Star of the Sea College",NA,"BRIGHTON","268","49","53","8","99.4","33","14.8",2017,"Star of the Sea College   BRIGHTON"
"Staughton College",NA,"MELTON SOUTH","139","42","79","80","64.8","26","0.6",2017,"Staughton College   MELTON SOUTH"
"Stawell Secondary College",NA,"STAWELL","67","25","59","34","40.6","24","0.7",2017,"Stawell Secondary College   STAWELL"
"Stott's College",NA,"MELBOURNE","24","11","-","-","95.5","27","6.2",2017,"Stott's College   MELBOURNE"
"Strathcona Baptist Girls GS",NA,"CANTERBURY","163","33","< 4","-","98.9","36","25.8",2017,"Strathcona Baptist Girls GS   CANTERBURY"
"Strathmore Secondary College",NA,"STRATHMORE","371","47","26","-","91.6","32","9.0",2017,"Strathmore Secondary College   STRATHMORE"
"Sunbury College",NA,"SUNBURY","200","40","173","25","74.8","27","2.0",2017,"Sunbury College   SUNBURY"
"Sunbury Downs Sec College",NA,"SUNBURY","141","30","148","68","60.3","31","4.6",2017,"Sunbury Downs Sec College   SUNBURY"
"Sunraysia Institute of TAFE","*","MILDURA","4","3","26","27","-","-","-",2017,"Sunraysia Institute of TAFE   MILDURA"
"Sunshine College",NA,"SUNSHINE","168","43","225","222","96.3","29","2.2",2017,"Sunshine College   SUNSHINE"
"Surf Coast Sec College",NA,"TORQUAY","129","48","107","24","48.6","28","2.0",2017,"Surf Coast Sec College   TORQUAY"
"Suzanne Cory High School",NA,"WERRIBEE","403","36","-","-","99","35","19.7",2017,"Suzanne Cory High School   WERRIBEE"
"Swan Hill College",NA,"SWAN HILL","199","33","264","115","76.8","25","3.0",2017,"Swan Hill College   SWAN HILL"
"Swifts Creek P-12 School","*","SWIFTS CREEK","11","13","7","6","100","29","15.8",2017,"Swifts Creek P-12 School   SWIFTS CREEK"
"Swinburne Senior Sec College",NA,"HAWTHORN","262","55","85","36","79.2","28","0.8",2017,"Swinburne Senior Sec College   HAWTHORN"
"Swinburne Uni of Tech - TAFE",NA,"CROYDON","24","8","119","122","-","-","-",2017,"Swinburne Uni of Tech - TAFE   CROYDON"
"Sydney Road Community School","*","BRUNSWICK","18","12","17","23","66.7","23","0",2017,"Sydney Road Community School   BRUNSWICK"
"Tallangatta Secondary College",NA,"TALLANGATTA","85","32","93","23","64.099999999999994","28","0.5",2017,"Tallangatta Secondary College   TALLANGATTA"
"Tarneit Senior College",NA,"TARNEIT","160","36","28","28","89.7","26","0.6",2017,"Tarneit Senior College   TARNEIT"
"Taylors Lakes Sec College",NA,"TAYLORS LAKES","269","47","144","78","91.5","27","2.3",2017,"Taylors Lakes Sec College   TAYLORS LAKES"
"Templestowe College",NA,"TEMPLESTOWE LOWER","275","59","78","21","52","28","2.9",2017,"Templestowe College   TEMPLESTOWE LOWER"
"Terang College Sec Campus",NA,"TERANG","35","27","29","15","92.3","29","5.3",2017,"Terang College Sec Campus   TERANG"
"The Centre",NA,"WANGARATTA","-","-","9","11","-","-","-",2017,"The Centre   WANGARATTA"
"The David Scott School","*","FRANKSTON","10","6","36","52","-","-","-",2017,"The David Scott School   FRANKSTON"
"The Geelong College",NA,"NEWTOWN","243","38","28","-","95.8","34","19.1",2017,"The Geelong College   NEWTOWN"
"The Grange P-12 College",NA,"HOPPERS CROSSING","158","30","133","74","69","25","1.4",2017,"The Grange P-12 College   HOPPERS CROSSING"
"The Hamilton & Alexandra Coll",NA,"HAMILTON","127","37","58","-","93.8","32","12.7",2017,"The Hamilton & Alexandra Coll   HAMILTON"
"The King David School",NA,"ARMADALE","124","39","67","-","94.8","36","25.3",2017,"The King David School   ARMADALE"
"The Knox School",NA,"WANTIRNA SOUTH","134","35","27","-","95.8","32","8.5",2017,"The Knox School   WANTIRNA SOUTH"
"Thomas Carr College",NA,"TARNEIT","317","50","137","63","90.9","27","1.3",2017,"Thomas Carr College   TARNEIT"
"Thomastown Secondary College",NA,"THOMASTOWN","87","32","30","-","74.7","23","1.9",2017,"Thomastown Secondary College   THOMASTOWN"
"Thornbury High School",NA,"THORNBURY","202","49","119","72","95.1","30","4.5",2017,"Thornbury High School   THORNBURY"
