"school","small_school","locality","num_vce_students_enrolled","num_vce_studies","num_vet_students_enrolled","num_vcal_students_enrolled","percent_vce_studs_apply_tert","median_vce_ss","percent_ss_40plus","year","school_loc"
"Bentleigh Secondary College",NA,"BENTLEIGH EAST","218","38","14","-","86.1","29","4.0",2014,"Bentleigh Secondary College   BENTLEIGH EAST"
"Berry Street Victoria","*","RICHMOND","5","15","38","59","-","-","-",2014,"Berry Street Victoria   RICHMOND"
"Berwick Grammar School",NA,"OFFICER","50","25","5","-","100","30","5.5",2014,"Berwick Grammar School   OFFICER"
"Berwick Secondary College",NA,"BERWICK","337","66","315","187","75.5","30","5.4",2014,"Berwick Secondary College   BERWICK"
"Beth Rivkah Ladies College",NA,"ST KILDA EAST","73","29","56","-","94.7","35","30.5",2014,"Beth Rivkah Ladies College   ST KILDA EAST"
"Bialik College",NA,"HAWTHORN EAST","151","38","46","-","100","38","35.6",2014,"Bialik College   HAWTHORN EAST"
"Billanook College",NA,"MOOROOLBARK","177","43","145","-","83.8","33","13.8",2014,"Billanook College   MOOROOLBARK"
"Birchip P-12 School",NA,"BIRCHIP","34","27","37","7","62.5","30","4.2",2014,"Birchip P-12 School   BIRCHIP"
"Blackburn High School",NA,"BLACKBURN","181","40","11","-","84.9","29","7.6",2014,"Blackburn High School   BLACKBURN"
"Boort District P-12 School",NA,"BOORT","24","18","9","5","80","30","3.0",2014,"Boort District P-12 School   BOORT"
"Boronia K-12 College",NA,"BORONIA","41","21","37","24","73.7","27","1.1",2014,"Boronia K-12 College   BORONIA"
"Box Hill High School",NA,"BOX HILL","334","50","55","-","91","33","15.0",2014,"Box Hill High School   BOX HILL"
"Box Hill Institute",NA,"BOX HILL","251","53","163","170","23.7","24","2.5",2014,"Box Hill Institute   BOX HILL"
"Box Hill Senior Sec College",NA,"MONT ALBERT NORTH","329","64","280","22","64.7","25","1.0",2014,"Box Hill Senior Sec College   MONT ALBERT NORTH"
"Braemar College",NA,"WOODEND","166","42","57","-","87.1","32","9.1",2014,"Braemar College   WOODEND"
"Brauer College",NA,"WARRNAMBOOL","188","42","139","46","63.9","28","4.4",2014,"Brauer College   WARRNAMBOOL"
"Braybrook College",NA,"BRAYBROOK","209","37","153","42","88.7","32","9.1",2014,"Braybrook College   BRAYBROOK"
"Brentwood Secondary College",NA,"GLEN WAVERLEY","373","51","26","-","98.6","31","9.4",2014,"Brentwood Secondary College   GLEN WAVERLEY"
"Bright P-12 College",NA,"BRIGHT","55","26","51","15","62.1","25","3.4",2014,"Bright P-12 College   BRIGHT"
"Brighton Grammar School",NA,"BRIGHTON","234","35","18","-","93.9","34","15.3",2014,"Brighton Grammar School   BRIGHTON"
"Brighton Secondary College",NA,"BRIGHTON EAST","302","52","26","-","87.4","30","8.1",2014,"Brighton Secondary College   BRIGHTON EAST"
"Broadford Secondary College",NA,"BROADFORD","108","36","133","43","71.8","25","1.1",2014,"Broadford Secondary College   BROADFORD"
"Brunswick Secondary College",NA,"BRUNSWICK","155","58","62","69","87.3","32","10.7",2014,"Brunswick Secondary College   BRUNSWICK"
"Buckley Park College",NA,"ESSENDON","200","47","53","34","91.1","31","7.3",2014,"Buckley Park College   ESSENDON"
"Bundoora Secondary College",NA,"BUNDOORA","139","56","126","30","84.9","23","2.4",2014,"Bundoora Secondary College   BUNDOORA"
"Camberwell Anglican Girls GS",NA,"CANTERBURY","194","34","< 4","-","98.9","35","27.3",2014,"Camberwell Anglican Girls GS   CANTERBURY"
"Camberwell Grammar School",NA,"CANTERBURY","299","44","25","-","98.2","35","24.6",2014,"Camberwell Grammar School   CANTERBURY"
"Camberwell High School",NA,"CANTERBURY","309","47","48","12","95.1","32","10.1",2014,"Camberwell High School   CANTERBURY"
"Camperdown College",NA,"CAMPERDOWN","32","21","15","14","82.4","27","1.1",2014,"Camperdown College   CAMPERDOWN"
"Cann River P-12 College","*","CANN RIVER","9","9","4","-","50","31","0",2014,"Cann River P-12 College   CANN RIVER"
"Canterbury Girls Sec College",NA,"CANTERBURY","293","42","30","-","96.8","32","12.1",2014,"Canterbury Girls Sec College   CANTERBURY"
"Carey Baptist Grammar School",NA,"KEW","274","53","30","-","97.4","33","15.0",2014,"Carey Baptist Grammar School   KEW"
"Caroline Chisholm Catholic Coll",NA,"BRAYBROOK","293","49","55","38","96.9","29","4.0",2014,"Caroline Chisholm Catholic Coll   BRAYBROOK"
"Carrum Downs Sec College",NA,"CARRUM DOWNS","194","38","188","111","88.5","25","0.6",2014,"Carrum Downs Sec College   CARRUM DOWNS"
"Carwatha College P-12",NA,"NOBLE PARK NORTH","116","47","67","42","84.4","26","1.9",2014,"Carwatha College P-12   NOBLE PARK NORTH"
"Casey Grammar School",NA,"CRANBOURNE","109","33","10","-","85.4","28","3.4",2014,"Casey Grammar School   CRANBOURNE"
"Casterton Secondary College",NA,"CASTERTON","26","15","23","18","71.400000000000006","28","3.7",2014,"Casterton Secondary College   CASTERTON"
"Castlemaine Secondary College",NA,"CASTLEMAINE","146","56","151","47","58.9","28","3.6",2014,"Castlemaine Secondary College   CASTLEMAINE"
"Cathedral College",NA,"WANGARATTA","37","22","5","-","79.2","28","4.6",2014,"Cathedral College   WANGARATTA"
"Catholic College Bendigo",NA,"BENDIGO","457","62","260","93","94.5","30","5.5",2014,"Catholic College Bendigo   BENDIGO"
"Catholic College Sale",NA,"SALE","222","34","109","33","76.3","29","3.4",2014,"Catholic College Sale   SALE"
"Catholic College Wodonga",NA,"WODONGA","297","40","178","45","73.5","31","7.2",2014,"Catholic College Wodonga   WODONGA"
"Catholic Ladies College",NA,"ELTHAM","213","42","127","18","94.4","32","9.1",2014,"Catholic Ladies College   ELTHAM"
"Catholic Regional College",NA,"MELTON WEST","188","51","64","37","84.2","28","4.0",2014,"Catholic Regional College   MELTON WEST"
"Catholic Regional College",NA,"SYDENHAM","553","73","542","96","89.2","29","2.7",2014,"Catholic Regional College   SYDENHAM"
"Caulfield Grammar School",NA,"WHEELERS HILL","267","42","43","-","99.4","35","21.9",2014,"Caulfield Grammar School   WHEELERS HILL"
"Caulfield Grammar School",NA,"ST KILDA EAST","411","45","312","-","94.1","35","23.0",2014,"Caulfield Grammar School   ST KILDA EAST"
"Caulfield Park Comm School",NA,"CAULFIELD NORTH","32","39","89","20","-","-","-",2014,"Caulfield Park Comm School   CAULFIELD NORTH"
"Central Gippsland Inst of TAFE",NA,"NEWBOROUGH","29","6","-","-","35.700000000000003","22","0",2014,"Central Gippsland Inst of TAFE   NEWBOROUGH"
"Centre for Adult Education",NA,"MELBOURNE","303","48","38","69","33.299999999999997","26","1.8",2014,"Centre for Adult Education   MELBOURNE"
"Chairo Christian School",NA,"DROUIN","107","37","54","-","84.2","31","3.2",2014,"Chairo Christian School   DROUIN"
"Charles La Trobe P-12 College",NA,"PRESTON","21","14","52","173","-","-","-",2014,"Charles La Trobe P-12 College   PRESTON"
"Charles La Trobe P-12 College",NA,"MACLEOD WEST","31","26","11","-","92.3","29","2.3",2014,"Charles La Trobe P-12 College   MACLEOD WEST"
"Charlton College","*","CHARLTON","19","20","29","16","77.8","31","8.2",2014,"Charlton College   CHARLTON"
"Cheltenham Secondary College",NA,"CHELTENHAM","243","57","107","-","96.3","30","3.2",2014,"Cheltenham Secondary College   CHELTENHAM"
"Chisholm Institute",NA,"FRANKSTON","120","48","184","231","47.2","23","0.4",2014,"Chisholm Institute   FRANKSTON"
"Chisholm Institute of TAFE",NA,"DANDENONG","275","58","395","422","48.2","23","0.6",2014,"Chisholm Institute of TAFE   DANDENONG"
"Christ the King Anglican Coll","*","COBRAM","18","12","< 4","-","100","26","0",2014,"Christ the King Anglican Coll   COBRAM"
"Christian Brothers' College",NA,"ST KILDA EAST","91","45","33","17","87.7","30","7.2",2014,"Christian Brothers' College   ST KILDA EAST"
"Christian College Institute",NA,"WAURN PONDS","263","47","38","12","89","31","10.2",2014,"Christian College Institute   WAURN PONDS"
"Clonard College",NA,"GEELONG WEST","188","47","79","29","89.2","30","5.9",2014,"Clonard College   GEELONG WEST"
"Cobden Technical School",NA,"COBDEN","45","26","28","19","95.2","24","0",2014,"Cobden Technical School   COBDEN"
"Cobram Secondary College",NA,"COBRAM","91","42","45","18","89.8","28","5.6",2014,"Cobram Secondary College   COBRAM"
"Coburg Senior High School",NA,"COBURG","61","30","< 4","-","86.5","28","4.1",2014,"Coburg Senior High School   COBURG"
"Cohuna Secondary College",NA,"COHUNA","65","27","37","5","83.3","28","3.4",2014,"Cohuna Secondary College   COHUNA"
"Colac Secondary College",NA,"COLAC","97","39","54","44","55.8","26","2.1",2014,"Colac Secondary College   COLAC"
"Collingwood College",NA,"COLLINGWOOD","60","40","27","-","60","25","1.0",2014,"Collingwood College   COLLINGWOOD"
"Copperfield College",NA,"DELAHEY","373","70","287","140","93.2","28","1.5",2014,"Copperfield College   DELAHEY"
"Cornish College","*","BANGHOLME","7","5","12","-","-","33","25.0",2014,"Cornish College   BANGHOLME"
"Corryong College",NA,"CORRYONG","43","19","39","12","100","32","9.6",2014,"Corryong College   CORRYONG"
"Covenant College",NA,"BELL POST HILL","52","41","26","9","68.2","30","8.3",2014,"Covenant College   BELL POST HILL"
"Craigieburn Secondary College",NA,"CRAIGIEBURN","262","42","232","42","77.900000000000006","25","1.0",2014,"Craigieburn Secondary College   CRAIGIEBURN"
"Cranbourne East Sec College",NA,"CRANBOURNE EAST","-","-","16","13","-","-","-",2014,"Cranbourne East Sec College   CRANBOURNE EAST"
"Cranbourne Secondary College",NA,"CRANBOURNE","309","58","321","209","79.8","27","1.1",2014,"Cranbourne Secondary College   CRANBOURNE"
"Croydon Community School","*","CROYDON","7","10","18","34","-","-","-",2014,"Croydon Community School   CROYDON"
"Damascus College",NA,"MOUNT CLEAR","212","47","116","27","65.400000000000006","27","2.7",2014,"Damascus College   MOUNT CLEAR"
"Dandenong High School",NA,"DANDENONG","438","71","196","100","93.6","25","1.0",2014,"Dandenong High School   DANDENONG"
"Darul Ulum College of Victoria",NA,"FAWKNER","65","14","-","-","71.400000000000006","29","2.2",2014,"Darul Ulum College of Victoria   FAWKNER"
"Daylesford Neighb'hood Centre","*","DAYLESFORD","< 4","1","9","11","-","I/D","I/D",2014,"Daylesford Neighb'hood Centre   DAYLESFORD"
"Daylesford Secondary College",NA,"DAYLESFORD","92","35","87","17","55.8","25","0.5",2014,"Daylesford Secondary College   DAYLESFORD"
"De La Salle College",NA,"MALVERN","241","42","114","20","96.9","30","6.4",2014,"De La Salle College   MALVERN"
"Derrinallum P12 College","*","DERRINALLUM","7","10","8","5","66.7","32","0",2014,"Derrinallum P12 College   DERRINALLUM"
"Diamond Valley College",NA,"DIAMOND CREEK","136","45","122","33","72.599999999999994","28","3.0",2014,"Diamond Valley College   DIAMOND CREEK"
"Diamond Valley Learn Centre","*","GREENSBOROUGH","< 4","2","41","44","-","I/D","I/D",2014,"Diamond Valley Learn Centre   GREENSBOROUGH"
"Dimboola Memorial Sec College",NA,"DIMBOOLA","37","19","47","41","100","29","2.5",2014,"Dimboola Memorial Sec College   DIMBOOLA"
"Distance Education Victoria",NA,"THORNBURY","273","87","43","18","33.799999999999997","28","5.6",2014,"Distance Education Victoria   THORNBURY"
"Diversitat",NA,"GEELONG","-","-","140","141","-","-","-",2014,"Diversitat   GEELONG"
"Donald High School",NA,"DONALD","40","19","38","37","84.2","31","4.8",2014,"Donald High School   DONALD"
"Doncaster Secondary College",NA,"DONCASTER","342","45","19","7","91.7","30","7.3",2014,"Doncaster Secondary College   DONCASTER"
"Donvale Christian College",NA,"DONVALE","163","39","24","-","87.3","33","13.5",2014,"Donvale Christian College   DONVALE"
"Dromana Secondary College",NA,"DROMANA","222","49","250","164","79.400000000000006","30","6.6",2014,"Dromana Secondary College   DROMANA"
"Drouin Secondary College",NA,"DROUIN","149","51","176","89","81.7","29","2.9",2014,"Drouin Secondary College   DROUIN"
"East Doncaster Sec College",NA,"DONCASTER EAST","343","59","88","21","95.2","31","7.3",2014,"East Doncaster Sec College   DONCASTER EAST"
"East Loddon P-12 College",NA,"DINGEE","22","16","11","16","42.9","27","7.1",2014,"East Loddon P-12 College   DINGEE"
"East Preston Islamic College",NA,"EAST PRESTON","28","17","19","12","92.9","28","4.5",2014,"East Preston Islamic College   EAST PRESTON"
"Echuca College",NA,"ECHUCA","191","33","127","22","66.2","27","2.5",2014,"Echuca College   ECHUCA"
"Edenhope College",NA,"EDENHOPE","26","21","25","12","58.3","27","1.5",2014,"Edenhope College   EDENHOPE"
"Edinburgh College",NA,"LILYDALE","23","16","< 4","-","100","29","3.3",2014,"Edinburgh College   LILYDALE"
"Education Centre Gippsland","*","WARRAGUL","11","1","52","53","-","-","-",2014,"Education Centre Gippsland   WARRAGUL"
"Elisabeth Murdoch College",NA,"LANGWARRIN","282","75","344","118","76.400000000000006","29","5.6",2014,"Elisabeth Murdoch College   LANGWARRIN"
"Eltham College",NA,"RESEARCH","203","48","150","-","91.2","31","7.9",2014,"Eltham College   RESEARCH"
"Eltham High School",NA,"ELTHAM","269","58","132","20","86.3","30","7.1",2014,"Eltham High School   ELTHAM"
"Elwood College",NA,"ELWOOD","124","43","16","-","81.099999999999994","28","4.5",2014,"Elwood College   ELWOOD"
"Emerald Secondary College",NA,"EMERALD","225","49","162","124","87","29","2.5",2014,"Emerald Secondary College   EMERALD"
"Emmanuel College",NA,"ALTONA NORTH","381","49","181","41","88.5","28","3.4",2014,"Emmanuel College   ALTONA NORTH"
"Emmanuel College",NA,"WARRNAMBOOL","287","52","134","33","87.2","28","2.9",2014,"Emmanuel College   WARRNAMBOOL"
"Emmaus College",NA,"VERMONT SOUTH","275","44","52","19","93.6","31","5.2",2014,"Emmaus College   VERMONT SOUTH"
"Epping Secondary College",NA,"EPPING","131","48","133","199","89.7","27","3.1",2014,"Epping Secondary College   EPPING"
"Essendon Keilor College",NA,"ESSENDON","299","60","137","58","86.7","25","1.9",2014,"Essendon Keilor College   ESSENDON"
"Euroa Secondary College",NA,"EUROA","87","36","59","15","70.8","25","1.8",2014,"Euroa Secondary College   EUROA"
"F.C.J. College",NA,"BENALLA","112","45","78","21","80","28","2.0",2014,"F.C.J. College   BENALLA"
"Fairhills High School",NA,"KNOXFIELD","217","59","197","95","87.2","28","3.7",2014,"Fairhills High School   KNOXFIELD"
"Federation University Australia",NA,"BALLARAT","55","17","185","199","-","-","-",2014,"Federation University Australia   BALLARAT"
"Fintona Girls School",NA,"BALWYN","106","28","< 4","-","98.1","37","37.2",2014,"Fintona Girls School   BALWYN"
"Firbank Grammar School",NA,"BRIGHTON","202","33","13","-","100","35","19.3",2014,"Firbank Grammar School   BRIGHTON"
"Fitzroy High School",NA,"FITZROY NORTH","88","41","57","14","86.9","29","7.5",2014,"Fitzroy High School   FITZROY NORTH"
"Flinders Christian Comm College",NA,"TYABB","136","39","67","-","89.2","29","5.9",2014,"Flinders Christian Comm College   TYABB"
"Flinders Christian Comm College",NA,"CARRUM DOWNS","98","36","18","5","83.8","30","4.0",2014,"Flinders Christian Comm College   CARRUM DOWNS"
"Flinders Christian Comm College",NA,"TRARALGON","27","16","8","-","94.7","29","5.4",2014,"Flinders Christian Comm College   TRARALGON"
"Footscray City College",NA,"FOOTSCRAY","191","52","94","62","80.2","27","1.4",2014,"Footscray City College   FOOTSCRAY"
"Forest Hill College",NA,"BURWOOD EAST","122","42","32","-","69.2","26","2.3",2014,"Forest Hill College   BURWOOD EAST"
"Fountain Gate Sec College",NA,"FOUNTAIN GATE","134","55","38","< 4","82.8","28","3.5",2014,"Fountain Gate Sec College   FOUNTAIN GATE"
